SITE_ID,elevation
US-PFa,472.534573
US-Syv,540.5591142
US-Bi1,-3.707723113
US-Bi2,-5.102189549
US-CS1,334.475391
US-CS3,327.2406632
US-CS4,329.4993797
US-CS5,334.8497364
US-Ne1,358.7701831
US-Ne2,356.035136
US-Ne3,357.4073433
US-Ro1,287.6140865
US-Ro1,287.6140865
US-Ro2,287.2790735
US-Ro5,283.4477213
US-Ro6,283.1801512
US-Twt,-6.070000172
US-CMW,1189.467547
US-Rpf,487.8026463
US-UMB,235.5973591
US-UMd,240.0553218
US-WCr,518.8622534
US-BZS,122.1178812
US-CS2,335.3975505
US-Me2,1253.598873
US-Me6,999.9276451
US-Prr,198.9289056
US-Uaf,155.2530604
US-KFS,333.1201494
US-KLS,378.3752861
US-Kon,443.4694632
US-LS1,1233.550817
US-Ro4,265.4383225
US-Sne,-4.570000172
US-Snf,-3.94343235
US-SRG,1291.699656
US-Var,159.9406945
US-EML,671.1281026
US-Fcr,324.6815539
US-ICh,951.0587497
US-ICt,918.5499811
US-LL1,50.8228926
US-LL2,46.79781455
US-LL3,48.41890651
US-LS2,1239.942739
US-UM3,216.9819946
US-BZF,121.5591831
US-BZo,121.369157
US-ICs,900.0855539
US-Los,482.4190462
US-Myb,-3.531189031
US-OWC,174.1365063
US-Srr,3.201045403
US-Tw1,-4.813800788
US-Tw4,-4.924643806
US-Tw5,-5.190089719
US-CdM,1860.341818
US-Ton,171.2043467